Group G-1:,,,,
==================================================,,,,
,,,,
Team 1,,,,
--------------------------------------------------,,,,
1. 5002, Aarav Singh, CCDS, Male,4.02
5. 1726, Lara Li, CCEB, Female,4.2
,,,,
Team 15,,,,
--------------------------------------------------,,,,
1. 2473, Jasper Lim, SPMS, Male,4.12
2. 4453, Jesse Bennett, SSS, Male,4.03
3. 5103, Ki-Hoon Kim, CCDS, Male,4.03
4. 2052, Layla Collins, EEE, Female,4.05
5. 5371, Lina Binti Ali, SBS, Female,4.19
,,,,
Team 16,,,,
--------------------------------------------------,,,,
1. 2547, Lila Zhao, CCDS, Female,4.01
2. 2712, Mei Zhao, SBS, Female,4.12
3. 1814, Mingjing, CCEB, Female,4.05
4. 4392, Nathaniel Adams, EEE, Male,4.2
5. 5073, Quinn Lee, SoH, Male,4.01
,,,,
Team 17,,,,
--------------------------------------------------,,,,
1. 5080, Mira Lin, CoB (NBS), Female,4.15
2. 3636, Nadia Iqbal, CCEB, Female,4.16
3. 4123, Nguyen Thi Phuong, NIE, Female,4.03
4. 248, Winston Villanueva, SSS, Male,4.03
5. 1130, Yuri Chekhov, CCDS, Male,4.03
,,,,
Team 18,,,,
--------------------------------------------------,,,,
1. 5226, Patricia Wong, CCEB, Female,4.18
2. 3212, Priya Gupta, CoB (NBS), Female,4.07
3. 1428, Selena Tan, MAE, Female,4.17
4. 1877, Zhengrong, CCDS, Male,4.2
5. 3615, Shalini Pillai, MSE, Female,4.22
,,,,
Team 19,,,,
--------------------------------------------------,,,,
1. 4558, Shirley Tan, MAE, Female,4.06
2. 3611, Sofia Chandra, CCDS, Female,4.22
3. 1455, Sophia Koh, ADM, Female,4.15
4. 2611, Yang Zhang, CoB (NBS), Male,4.07
5. 1965, Stella Bryant, SBS, Female,3.88
,,,,
Team 20,,,,
--------------------------------------------------,,,,
1. 3568, Tanya Sharma, ASE, Female,4.03
2. 4624, Tina Tan, EEE, Female,4.03
3. 4759, Xiu Li, CCEB, Female,4.03
4. 5994, Zain Qureshi, MSE, Female,4.11
5. 3882, Yoshiko Mori, CCEB, Female,4.03
,,,,
Group G-3:,,,,
==================================================,,,,
,,,,
Team 21,,,,
--------------------------------------------------,,,,
1. 4981, Aditi Bhatia, EEE, Female,4.1
2. 26, Autumn Diaz, WKW SCI, Female,4.03
3. 4723, Asher Brown, CoE, Male,4.15
4. 341, Cecilia Chen, CCDS, Female,4.03
5. 1648, Benjamin Hernandez, MAE, Male,4.79
,,,,
Team 22,,,,
--------------------------------------------------,,,,
1. 3296, Christian Ward, MAE, Male,4.11
2. 4291, Ethan Lee, CEE, Male,4.02
3. 584, Ella Cheung, CCEB, Female,4.1
4. 4764, Evelyn Wong, EEE, Female,3.85
5. 1144, Gabriel Wood, MSE, Male,4.22
,,,,
Team 23,,,,
--------------------------------------------------,,,,
1. 3463, Felix Tsang, MAE, Male,4
2. 1782, Harvey Smith, CCDS, Male,4.05
3. 5379, Gita Saputra, WKW SCI, Female,4.15
4. 5842, Harvey Tan, EEE, Male,4.1
5. 1693, Jasmine Sari, SoH, Female,4.05
,,,,
Team 24,,,,
--------------------------------------------------,,,,
1. 5781, Hina Bhatia, MAE, Female,4.15
2. 3045, Jing Xuan, EEE, Female,4.03
3. 2121, Jianli, MSE, Male,4.2
4. 2124, Keith Tan, CCDS, Male,3.96
5. 3414, Keng Tan, CoB (NBS), Male,4.15
,,,,
Team 25,,,,
--------------------------------------------------,,,,
1. 2119, Khairul Anuar Bin Mohd, EEE, Male,4.05
2. 3418, Kobe Alexander, CoB (NBS), Male,4.02
3. 1947, Keira Lee, MAE, Female,3.94
4. 3028, Hunter Green, CEE, Male,4.97
5. 585, Naina Kapoor, SoH, Female,4.12
,,,,
Team 26,,,,
--------------------------------------------------,,,,
1. 2061, Leo Li, CCDS, Male,4.15
2. 1710, Mansoor Aslam, CoE, Male,3.95
3. 3152, Lily Zhou, CEE, Female,4.2
4. 3612, Maya Zhang, CoB (NBS), Female,3.9
5. 3569, Neha Sharma, MAE, Female,3.86
,,,,
Team 27,,,,
--------------------------------------------------,,,,
1. 2764, Maya Patel, CEE, Female,4.09
2. 3405, Nadia Noor, CoB (NBS), Female,4.03
3. 3409, Milo Tan, CCDS, Male,4.17
4. 2680, Nida Waseem, MAE, Female,4
5. 5730, Qing Zhao, EEE, Male,4.11
,,,,
Team 28,,,,
--------------------------------------------------,,,,
1. 1314, Nashit Bhatia, CCDS, Male,4.22
2. 2701, Nguyen Van Tam, CEE, Male,4.18
3. 650, Olivia Goh, SPMS, Female,4.15
4. 1242, Qing Li, CCEB, Female,4.01
5. 5989, Rachel Ong, EEE, Female,3.96
,,,,
Team 29,,,,
--------------------------------------------------,,,,
1. 5187, Rita Rani, CoB (NBS), Female,4.05
2. 668, Riya Desai, EEE, Female,4.08
3. 1474, Riya Shah, CEE, Female,4.09
4. 3237, Tomi Budi, SPMS, Male,4.05
5. 5580, Wei Fang, SSS, Male,4.12
,,,,
Team 30,,,,
--------------------------------------------------,,,,
1. 2746, Xuan Zhang, CoE, Male,4.2
2. 1054, Zeeshan Iqbal, WKW SCI, Male,4.06
3. 310, Zeeshan Bukhari, SSS, Female,4.17
4. 2098, Zhen Yu, SoH, Male,4.09
5. 3740, Zuri Lin, ADM, Female,4.02
,,,,
Group G-4:,,,,
==================================================,,,,
,,,,
Team 31,,,,
--------------------------------------------------,,,,
1. 1184, Aaliyah Morgan, MSE, Female,4.2
2. 2107, Cathy Ng, MAE, Female,4.08
3. 1619, Aiden Turner, CoB (NBS), Male,4
4. 791, Arvind Rao, CEE, Male,4.15
5. 3073, Charles Robinson, WKW SCI, Male,4
,,,,
Team 32,,,,
--------------------------------------------------,,,,
1. 1899, Charlotte Tsai, SBS, Female,4.14
2. 3371, Dapeng, CCEB, Female,3.95
3. 5401, David Hughes, EEE, Male,4.15
4. 1734, Dmitry Orlov, CCDS, Male,3.9
5. 2341, Elan Shah, CoE, Male,3.85
,,,,
Team 33,,,,
--------------------------------------------------,,,,
1. 4605, Derek Yang, CCEB, Male,4.1
2. 2985, Elias Carter, CCDS, Male,4.14
3. 5450, Emilio Garcia, CoE, Male,4.03
4. 1162, Eryan, CoB (NBS), Female,4.2
5. 1830, Fiona Yeo, WKW SCI, Female,4.21
,,,,
Team 34,,,,
--------------------------------------------------,,,,
1. 3431, Dylan Ward, CCEB, Male,4.15
2. 2727, Kieran Ross, SoH, Male,4.18
3. 1991, Emily Tan, CCDS, Female,4.03
4. 4163, Esther Lee, CoB (NBS), Female,4.12
5. 1930, Gracie Scott, EEE, Female,4.22
,,,,
Team 35,,,,
--------------------------------------------------,,,,
1. 5644, Fatimah Abdullah, CoB (NBS), Female,4.15
2. 345, Hana Tan, CoE, Female,4.09
3. 4671, Juliati Wibowo, EEE, Female,4
4. 4046, Kiran Patel, CCEB, Male,4.17
5. 842, Santiago De Leon, SSS, Male,4.01
,,,,
Team 36,,,,
--------------------------------------------------,,,,
1. 430, Lan Huang, EEE, Female,4.05
2. 67, Laura Tan, CCEB, Female,3.95
3. 3498, Lina Tan, MAE, Female,4.11
4. 4944, William Harris, SoH, Male,4.12
5. 3155, Luca Wu, EEE, Male,4.02
,,,,
Team 37,,,,
--------------------------------------------------,,,,
1. 865, Meera Bansal, CoB (NBS), Female,3.97
2. 3831, Molly Chen, SSS, Female,4.03
3. 3600, Ming Li Tan, CCEB, Female,3.85
4. 1302, Zachary Nelson, SoH, Male,4.12
5. 2802, Nina Baker, ADM, Female,4.12
,,,,
Team 38,,,,
--------------------------------------------------,,,,
1. 5413, Nurul Hafiza, LKCMedicine, Female,4.2
2. 5625, Nora Pineda, MAE, Female,3.92
3. 1101, Nozomi Takahashi, CoB (NBS), Female,4.26
4. 3159, Rongwei, SSS, Female,3.95
5. 4700, Ruby Kwan, SBS, Female,4.16
,,,,
Team 39,,,,
--------------------------------------------------,,,,
1. 5979, Parvati Chatterjee, CoB (NBS), Female,4.09
2. 3949, Pooja Verma, MAE, Female,4.22
3. 3500, Sania Bukhari, ASE, Female,4.04
4. 2391, Sanya Mehta, EEE, Female,4.02
5. 5568, Sophie Fox, LKCMedicine, Female,4.08
,,,,
Team 40,,,,
--------------------------------------------------,,,,
1. 1535, Sofia Khan, CoB (NBS), Female,4.02
2. 3674, Xiaoping, CCDS, Female,4.1
3. 2775, Zainab Farooq, CCEB, Female,4.15
4. 3925, Sophia Mitchell, CoB (NBS), Female,4.07
5. 3236, Xiu Fen, CCDS, Female,4.11
,,,,
Group G-5:,,,,
==================================================,,,,
,,,,
Team 41,,,,
--------------------------------------------------,,,,
1. 1922, Ananya Choudhury, CCEB, Female,4.03
2. 975, Anushka Desai, ADM, Female,3.96
3. 3226, Aarav Patel, ASE, Male,3.9
4. 4333, Anthony Parker, MSE, Male,4.1
5. 1976, Christopher Harris, NIE, Male,4.05
,,,,
Team 42,,,,
--------------------------------------------------,,,,
1. 2961, Danying, SBS, Female,4.05
2. 1018, Aria Morales, CCEB, Female,4.26
3. 2309, Dmitri Andreev, EEE, Male,4.03
4. 5912, Dorian Wu, MAE, Male,4.14
5. 2801, Dorian Wu, SPMS, Male,4.22
,,,,
Team 43,,,,
--------------------------------------------------,,,,
1. 4766, Dylan Kim, CoB (NBS), Male,4.16
2. 1387, Elijah Clark, WKW SCI, Male,4.04
3. 2316, Exiang, EEE, Male,3.95
4. 1048, Imogen Butler, SPMS, Female,4.14
5. 5755, Katherine Lim, CCDS, Female,3.88
,,,,
Team 44,,,,
--------------------------------------------------,,,,
1. 2171, Gavin Carter, WKW SCI, Male,3.94
2. 3798, Hassan Bin Yusof, CoB (NBS), Male,4
3. 2028, Harlow Diaz, EEE, Female,4.12
4. 192, Layla Chen, SSS, Female,4.21
5. 1674, Liam Reyes, CCDS, Male,4.14
,,,,
Team 45,,,,
--------------------------------------------------,,,,
1. 5026, Jamal Bin Rahman, EEE, Male,4.1
2. 4931, Lucas White, SPMS, Male,4.06
3. 999, Marcus Turner, CoE, Male,3.88
4. 5732, Michelle Kwan, SSS, Female,4.18
5. 1784, Nadia Chai, CCEB, Female,4.03
,,,,
Team 46,,,,
--------------------------------------------------,,,,
1. 5658, Nisha Tan, CoB (NBS), Female,4.21
2. 614, Naomi Tanaka, EEE, Female,3.9
3. 3341, Olive Li, CCDS, Female,4.01
4. 4015, Priya Rao, LKCMedicine, Female,3.95
5. 385, Rhea Joshi, SPMS, Female,4.2
,,,,
Team 47,,,,
--------------------------------------------------,,,,
1. 2383, Rebecca Lee, CCDS, Female,4.05
2. 564, Qi Wang, CoB (NBS), Female,4.25
3. 4569, Rina Sato, MSE, Female,4.19
4. 1952, Riya Ali, EEE, Female,4.15
5. 938, Ryan Hall, CoB (NBS), Male,3.88
,,,,
Team 48,,,,
--------------------------------------------------,,,,
1. 5788, Samantha Taylor, CoE, Female,4.16
2. 3227, Savannah Hayes, EEE, Female,3.9
3. 5445, Samuel Huang, CoB (NBS), Male,4.19
4. 5290, Tanya Qureshi, MSE, Female,3.95
5. 5458, Tian Gao, CCDS, Male,4.48
,,,,
Team 49,,,,
--------------------------------------------------,,,,
1. 5044, Shu Zhang, CoB (NBS), Female,4.01
2. 554, Sophie Zhou, EEE, Female,4.11
3. 2825, Tatiana Morozova, SoH, Female,4.11
4. 5047, Victoria Ward, MAE, Female,4
5. 1336, Wendy Wong, CCDS, Female,4.18
,,,,
Team 50,,,,
--------------------------------------------------,,,,
1. 776, Suhana Roy, CoB (NBS), Female,4.2
2. 3231, Xiaofang, CCDS, Female,4.15
3. 1246, Yue Zhang, SSS, Female,4.07
4. 2025, Xue Rui, CoB (NBS), Female,3.8
5. 4472, Ying Chen, CoB (NBS), Female,4.22
,,,,
Group G-6:,,,,
==================================================,,,,
,,,,
Team 51,,,,
--------------------------------------------------,,,,
1. 3098, Aadhya Patel, CoB (NBS), Female,4.19
2. 3915, Abigail Nelson, SSS, Female,4.06
3. 1967, Angela Zhou, CCDS, Female,4.19
4. 5167, Asher Edwards, CEE, Male,4.02
5. 974, Dylan Ong, CoE, Male,4.1
,,,,
Team 52,,,,
--------------------------------------------------,,,,
1. 5070, Alyssa Wong, CoB (NBS), Female,4.18
2. 1177, Anum Malik, CCEB, Female,4.22
3. 4390, Aubrey Carter, MSE, Female,4.02
4. 5113, Brady Yang, CCDS, Male,4.15
5. 2422, Cameron Yang, CEE, Male,4.08
,,,,
Team 53,,,,
--------------------------------------------------,,,,
1. 2748, Brayden Lewis, CoB (NBS), Male,4.09
2. 3538, Elliot Wong, SoH, Male,4.19
3. 2090, Emilio Cruz, MSE, Male,4.09
4. 798, Jade Wibowo, SPMS, Female,4.2
5. 4322, Lily Zhao, CCDS, Female,4.22
,,,,
Team 54,,,,
--------------------------------------------------,,,,
1. 4345, Clara Tan, CoB (NBS), Female,3.95
2. 2971, Diana Ng, SoH, Female,3.98
3. 4516, Claire Ng, LKCMedicine, Female,4.79
4. 2402, Gabriel Howard, EEE, Male,4.09
5. 5426, Henry Ramirez, SPMS, Male,4.14
,,,,
Team 55,,,,
--------------------------------------------------,,,,
1. 5985, Elijah Huang, CoB (NBS), Male,4.03
2. 4590, Kendall Yang, NIE, Male,4.01
3. 206, Hannah Binti Ahmad, MSE, Female,4
4. 1641, Harper Hall, SoH, Female,4.12
5. 3079, Khalid Bin Mohd, EEE, Male,4.25
,,,,
Team 56,,,,
--------------------------------------------------,,,,
1. 2939, Isha Patel, SoH, Female,4.04
2. 1951, Madison Clark, CCDS, Female,4.03
3. 3285, Kian Wei Lim, SBS, Male,4.05
4. 416, Li Wei Tan, EEE, Male,4
5. 2774, Maya Brown, SSS, Female,3.95
,,,,
Team 57,,,,
--------------------------------------------------,,,,
1. 1827, Miranda Chang, SoH, Female,4.02
2. 4182, Meera Rao, EEE, Female,4.26
3. 5567, Mira Zhao, SBS, Female,4.26
4. 1716, Rajesh Iyer, SPMS, Male,4
5. 2265, Ranjit Singh, CoB (NBS), Male,4.03
,,,,
Team 58,,,,
--------------------------------------------------,,,,
1. 1310, Pauline Fung, CCEB, Female,4.18
2. 4419, Lianhua, SoH, Female,3.85
3. 1610, Puja Nair, MAE, Female,4.11
4. 2883, Ryo Tanaka, WKW SCI, Male,4.01
5. 4343, Suresh Nair, CoB (NBS), Male,3.91
,,,,
Team 59,,,,
--------------------------------------------------,,,,
1. 1427, Rhea Tan, EEE, Female,4.22
2. 1654, Riya Singh, NIE, Female,3.92
3. 2938, Siti Mariam, CoB (NBS), Female,4.02
4. 1124, Yuri Lebedev, CCDS, Male,4.17
5. 1154, Wei Chen, EEE, Male,4
,,,,
Team 60,,,,
--------------------------------------------------,,,,
1. 4311, Umi Lestari, EEE, Female,4.05
2. 3891, Sarah Robinson, NIE, Female,3.9
3. 4257, Yasmine Tan, WKW SCI, Female,4.14
4. 4430, Vicky Tan, EEE, Female,4.22
5. 2455, Yuki Hoshino, EEE, Female,4.22
,,,,
Group G-7:,,,,
==================================================,,,,
,,,,
Team 61,,,,
--------------------------------------------------,,,,
1. 88, Addison Yang, CoB (NBS), Female,4.09
2. 3257, Aria Khan, MAE, Female,4.14
3. 2498, Ahmad bin Ali, EEE, Male,4.18
4. 5729, Aiman Bin Azman, CCEB, Male,4.1
5. 4853, Andre Green, SBS, Male,4.03
,,,,
Team 62,,,,
--------------------------------------------------,,,,
1. 4398, Aiden Smith, EEE, Male,4.12
2. 3805, Charlie Wong, NIE, Male,4.15
3. 3407, Ariana Tsai, CCDS, Female,4.03
4. 3924, Ayesha Shirin, CoB (NBS), Female,4.02
5. 5822, Daniel Patel, SPMS, Male,3.88
,,,,
Team 63,,,,
--------------------------------------------------,,,,
1. 4320, Bilal Hussain, EEE, Male,4.01
2. 2472, Cheng Wei, NIE, Male,4.08
3. 2755, Bingwen, CoB (NBS), Male,4.52
4. 955, Devika Mehta, CCEB, Female,4.1
5. 328, Evelyn Kelly, MAE, Female,4.26
,,,,
Team 64,,,,
--------------------------------------------------,,,,
1. 73, Daniel Robinson, SoH, Male,4.08
2. 4772, Anish Bhatia, EEE, Male,4.35
3. 5622, Derek Johnson, CCDS, Male,3.9
4. 2263, Indriani Wulandari, SBS, Female,4.25
5. 5077, Neha Joshi, SPMS, Female,4.17
,,,,
Team 65,,,,
--------------------------------------------------,,,,
1. 2463, Harsh Kumar, CCEB, Male,4.19
2. 4197, Eli Tan, MSE, Male,3.89
3. 4318, Hassan Malik, SoH, Male,4.05
4. 433, Priscilla Tan, CoB (NBS), Female,3.88
5. 2211, Rita Chan, CEE, Female,4.07
,,,,
Team 66,,,,
--------------------------------------------------,,,,
1. 690, Hikaru Kuroda, EEE, Male,4.12
2. 1116, Hunter Powell, NIE, Male,4.14
3. 1357, Isabella Clark, SoH, Female,4.04
4. 3624, Minh Tran, MAE, Male,3.9
5. 4601, Rosa Martinez, SPMS, Female,4
,,,,
Team 67,,,,
--------------------------------------------------,,,,
1. 5145, Isaiah Lee, EEE, Male,4.03
2. 5193, Min-Seok Lee, SoH, Male,4.22
3. 2057, Noah Huang, ADM, Male,4.2
4. 984, Siti Aminah, MAE, Female,3.95
5. 2113, Sofia Martinez, CCDS, Female,4.08
,,,,
Team 68,,,,
--------------------------------------------------,,,,
1. 1074, Matthew Lee, EEE, Male,4.02
2. 2967, Oscar Lim, CCDS, Male,4.11
3. 2159, Shinji Yoshida, CoB (NBS), Male,3.91
4. 927, Sofia Patel, CCEB, Female,4.13
5. 2655, Vera Yip, MAE, Female,4.14
,,,,
Team 69,,,,
--------------------------------------------------,,,,
1. 5243, Soo-Yeon Lee, CCEB, Female,4.02
2. 3298, Xena Kwan, SSS, Female,4.14
3. 135, Waleed Iqbal, CoB (NBS), Male,4.21
4. 550, Yong Jie, EEE, Male,4.15
5. 3448, Yoshinori Yamashita, ADM, Male,3.89
,,,,
Team 70,,,,
--------------------------------------------------,,,,
1. 5102, Ursula Scott, CCEB, Female,4.07
2. 4279, Yuan Yi, MAE, Female,4.3
3. 4184, Yun Chen, SSS, Female,4.2
4. 1462, Yvonne Reyes, SBS, Female,3.9
5. 4351, Zoe Parker, EEE, Female,4.18
,,,,
Group G-8:,,,,
==================================================,,,,
,,,,
Team 71,,,,
--------------------------------------------------,,,,
1. 2979, Aidan Foster, CCDS, Male,4.05
2. 5537, Aminah Binte, CCEB, Male,4.02
3. 3897, Alena Chang, LKCMedicine, Female,4.15
4. 4334, Amara Belle, SBS, Female,3.91
5. 2785, Angela Tan, CEE, Female,4.14
,,,,
Team 72,,,,
--------------------------------------------------,,,,
1. 5265, Aria Singh, MAE, Female,3.95
2. 2711, Anushka Verma, MSE, Female,4.25
3. 4709, Avery Li, EEE, Female,4.04
4. 2694, Cheng Li, CCEB, Male,4.14
5. 4048, Dmitry Petrov, CCDS, Male,4.14
,,,,
Team 73,,,,
--------------------------------------------------,,,,
1. 2496, Ayla Wong, CoE, Female,4.04
2. 4942, Cindy Wong, EEE, Female,4.2
3. 4717, Dara Cheng, ASE, Female,4.04
4. 5031, Dominic Li, CEE, Male,4.14
5. 1497, Jacob Robinson, CCDS, Male,4.48
,,,,
Team 74,,,,
--------------------------------------------------,,,,
1. 3948, Harry Ho, EEE, Male,4.12
2. 1904, Kyle Wang, SPMS, Male,4.2
3. 4893, Fatima Tan, CCDS, Female,3.86
4. 4527, Jade Chang, CoB (NBS), Female,4.18
5. 5529, Jane Smith, SoH, Female,4.02
,,,,
Team 75,,,,
--------------------------------------------------,,,,
1. 1267, Joshua White, EEE, Male,4.09
2. 1673, Levi Parker, MSE, Male,4.14
3. 5883, Kira Tanaka, CCDS, Female,4.04
4. 4643, Kiran Rane, WKW SCI, Female,4.12
5. 917, Lara Cruz, SoH, Female,4.07
,,,,
Team 76,,,,
--------------------------------------------------,,,,
1. 2339, Laila Ali, WKW SCI, Female,4.04
2. 542, Mei Wang, CoE, Female,4.11
3. 4580, Landon Lim, EEE, Male,4.03
4. 179, Liam Hill, MAE, Male,4.19
5. 1708, Mason Hughes, CoB (NBS), Male,3.89
,,,,
Team 77,,,,
--------------------------------------------------,,,,
1. 2591, Liu Hong, EEE, Male,4.17
2. 4548, Michael Young, CoE, Male,4.19
3. 4208, Mia Morgan, CEE, Female,4.01
4. 3514, Michael Zhang, CoB (NBS), Male,4.11
5. 786, Neha Iyer, CCDS, Female,4.05
,,,,
Team 78,,,,
--------------------------------------------------,,,,
1. 3898, Mila Reed, CoB (NBS), Female,4.19
2. 593, Poppy Cahyani, CCDS, Female,4.1
3. 3368, Nathan Adams, SoH, Male,4.18
4. 3068, Rafiq Bin Zain, EEE, Male,4.2
5. 5334, Souta Watanabe, MAE, Male,4.04
,,,,
Team 79,,,,
--------------------------------------------------,,,,
1. 5515, Seung-Jin Han, CoB (NBS), Male,4.02
2. 2374, Thao Le, CCDS, Male,4.12
3. 2188, Suki Wang, CCEB, Female,4.12
4. 4889, Wendy Au, SSS, Female,3.92
5. 5111, Yuki Takeda, EEE, Female,3.92
,,,,
Team 80,,,,
--------------------------------------------------,,,,
1. 2387, Sofia Chen, CCDS, Female,4.18
2. 5387, Tian Wei, CoB (NBS), Female,4.02
3. 3623, Zane Carter, SoH, Male,4.12
4. 4774, Zara Rahman, CCEB, Female,4.03
5. 5860, Wei Chen, CoB (NBS), Female,4.05
,,,,
Group G-9:,,,,
==================================================,,,,
,,,,
Team 81,,,,
--------------------------------------------------,,,,
1. 55, Aarav Kumar, EEE, Male,4.19
2. 807, Andre Green, MSE, Male,4.09
3. 866, Adeline Ng, NIE, Female,4.15
4. 4016, Anika Sharma, CoB (NBS), Female,4.08
5. 3460, Arif Hussain, SoH, Male,4.01
,,,,
Team 82,,,,
--------------------------------------------------,,,,
1. 3033, Aayush Gupta, EEE, Male,4.2
2. 1158, Bryan Villanueva, CCDS, Male,4.08
3. 173, Chandni Kapoor, SPMS, Female,3.88
4. 3357, Darren Lee, CoB (NBS), Male,3.9
5. 688, Farah Rahman, NIE, Female,4.01
,,,,
Team 83,,,,
--------------------------------------------------,,,,
1. 706, Amir Ali, EEE, Male,4.22
2. 3799, Eli Brown, SPMS, Male,4.03
3. 119, Evangeline Rivera, CoB (NBS), Female,4.02
4. 2632, Faisal Noor, CCDS, Male,4.14
5. 4953, Fumiko Yamashita, ASE, Female,4.09
,,,,
Team 84,,,,
--------------------------------------------------,,,,
1. 780, Aurora Chang, EEE, Female,4.02
2. 4991, Felicia Cheung, CoB (NBS), Female,4.08
3. 4112, Jin-Ho Park, NIE, Male,4.3
4. 563, Kiran Mehta, SoH, Male,4.14
5. 2642, Liam Tan, SBS, Male,4.06
,,,,
Team 85,,,,
--------------------------------------------------,,,,
1. 1095, Hannah Li, EEE, Female,4.06
2. 1284, Katherine Sari, NIE, Female,4.05
3. 2974, Lian Zhang, CoB (NBS), Female,4.1
4. 4658, Naman Singh, CCDS, Male,4.19
5. 3673, Parker Li, LKCMedicine, Male,3.91
,,,,
Team 86,,,,
--------------------------------------------------,,,,
1. 959, Henry Clark, EEE, Male,4.04
2. 4086, Rafael Gonzalez, MSE, Male,4.04
3. 1020, Lillian Wu, CEE, Female,4.02
4. 1718, Lily Cheng, MAE, Female,4.12
5. 2158, Na Li, CoB (NBS), Female,4.15
,,,,
Team 87,,,,
--------------------------------------------------,,,,
1. 737, Lena Chen, EEE, Female,4.22
2. 3899, Mimi Binti Rahman, MAE, Female,4
3. 5224, Nancy Tan, SoH, Female,4.12
